
"Morehead St.",106.082,119.253,0.206541,11-10,11,21,48.2,51.7,35.6,37.4,19.4,15.5,37.5,37.1,65.0923,48.6,51,31.5,35.3,0,0,48.7,57.8,31.3,39.6,65.0923,,,,2026,,,,-6.31528,72.8,
Tennessee,121.695,96.3988,0.935823,14-6,14,20,53.8,46.9,40.3,35.5,18.6,17,44.8,28.8,65.5142,54.3,48.7,35.1,29.8,0,0,60.2,45.6,33.9,46,65.5142,,,,2026,,,,2.7198,68.6,
"Texas St.",101.204,111.049,0.255858,11-11,11,22,48.1,52.6,34,39.8,19.5,19,33.6,28.4,66.389,49,50.9,30.2,36.9,0,0,47.3,45.8,25,37,66.389,,,,2026,,,,-8.38529,75.2,
"Jackson St.",99.1199,117.054,0.128703,6-14,6,20,45.5,55,31,41.2,20,15.7,24.9,38.9,70.0795,44.6,57.6,31.1,34.3,0,0,48.6,63.3,43.9,42.7,70.0795,,,,2026,,,,-7.44918,76.7,
Mississippi,112.562,103.481,0.724599,11-9,11,20,50.4,48.8,33.3,40.9,14.6,17.6,30.6,31.9,64.9368,49.9,48.2,34.2,33.1,0,0,52.2,57,37.5,42,64.9368,,,,2026,,,,-1.86732,74.1,
Wyoming,114.765,107.067,0.689641,12-8,12,20,52.7,50.3,39.4,49.6,17.5,17.5,35.2,25.9,66.448,55.1,50.9,32.7,32.8,0,0,53.2,41.5,41.1,36.9,66.448,,,,2026,,,,-3.28891,74.8,
Minnesota,113.247,100.887,0.790679,10-10,10,20,52.5,49.6,41.3,30.6,16.6,17.3,30,29.3,63.2411,55.3,49.1,32.6,33.5,0,0,74.5,58.1,44.9,41.2,63.2411,,,,2026,,,,-2.28645,69.3,
Illinois,131.281,99.3483,0.961027,17-3,17,20,56.2,46.8,34.6,19.4,14.4,11.7,40,26.8,66.1057,58.4,46.4,36,31.6,0,0,50.5,49.5,50.2,40.7,66.1057,,,,2026,,,,5.22384,79.4,
LIU,106.572,111.15,0.381373,12-8,12,20,52.2,52.2,32.6,34.9,19.9,18.6,36.8,34.3,67.9894,51.4,52.8,36.1,34.1,0,0,48.8,48.9,29.1,32.9,67.9894,,,,2026,,,,-3.84232,63.7,
UTEP,103.663,112.422,0.282358,7-13,7,20,48.4,53.5,29.5,44.4,18.5,18.5,27.3,33,64.0564,47,54.1,33.7,35,0,0,50,51.5,39.5,37.1,64.0564,,,,2026,,,,-8.95057,67.5,
"Loyola Chicago",104.558,117.804,0.202334,5-17,5,22,48.9,52.5,33.9,33.7,19.8,12.5,32.9,31.5,65.7179,51.4,48.8,30.7,38.2,0,0,60.1,61.5,47.2,43.7,65.7179,,,,2026,,,,-12.2491,68.4,
Texas,126.368,106.851,0.873174,12-9,12,21,54.6,49.7,47.3,41.4,15.3,14.6,37.7,27.8,66.7422,57,47.6,33.8,35.6,0,0,44.2,46.8,38.7,35.1,66.7422,,,,2026,,,,-0.415049,74,
"Maryland Eastern Shore",96.4208,112.36,0.146869,8-13,8,21,47,50.3,28.6,40,22.6,17.5,29.8,34.4,63.0303,49.6,51.8,28.1,32.1,0,0,58.6,56,35,41.5,63.0303,,,,2026,,,,-7.57568,69.6,
"Western Illinois",93.7161,118.458,0.0633114,4-17,4,21,43.5,53.2,38,36.8,17.9,15.6,30,34.1,65.6751,43.6,52.1,28.7,36.8,0,0,33.4,48.2,29.8,35.5,65.6751,,,,2026,,,,-14.3708,67.1,
"Fairleigh Dickinson",101.432,118.781,0.13994,7-14,7,21,46.4,57.1,34.6,37.9,17.9,16.8,31,28.6,65.445,47.6,55.8,30.1,39.2,0,0,51.4,53.3,48.7,42.2,65.445,,,,2026,,,,-10.1161,70.2,
Cornell,120.432,122.1,0.460535,9-9,9,18,57.9,58,32.4,37.6,16.4,15,29,29.1,73.1628,57.1,57.2,39.1,39.4,0,0,66.7,54.5,52.1,38.7,73.1628,,,,2026,,,,-5.18847,75.2,
"West Virginia",112.615,99.3348,0.808927,14-7,14,21,52.7,47.8,36.5,28.1,17.1,17.6,30.5,26.4,62.2981,51.8,45.5,35.9,34.3,0,0,54.2,57.5,43.3,39.1,62.2981,,,,2026,,,,0.0551247,68.6,
