team,off_eff,def_eff,tempo,off_eff_home,def_eff_home,off_eff_away,def_eff_away
Northern Colorado,112.761,113.11,0.4911,112.761,113.11,112.761,113.11
Iowa,120.46,96.1754,0.930158,120.46,96.1754,120.46,96.1754
Florida A&M,99.1223,109.817,0.235355,99.1223,109.817,99.1223,109.817
TCU,113.73,99.2442,0.827321,113.73,99.2442,113.73,99.2442
Middle Tennessee,109.662,104.117,0.644902,109.662,104.117,109.662,104.117
Oregon,115.022,104.847,0.743653,115.022,104.847,115.022,104.847
Harvard,107.888,110.701,0.426539,107.888,110.701,107.888,110.701
Florida,123.662,95.4855,0.951368,123.662,95.4855,123.662,95.4855
Saint Joseph's,107.583,104.293,0.588353,107.583,104.293,107.583,104.293
Saint Mary's,119.75,100.974,0.876662,119.75,100.974,119.75,100.974
Texas A&M Corpus Chris,101.461,101.543,0.497685,101.461,101.543,101.461,101.543
Ohio St.,122.286,103.657,0.869962,122.286,103.657,122.286,103.657
Florida St.,112.758,105.714,0.677388,112.758,105.714,112.758,105.714
Seton Hall,108.298,95.0843,0.817036,108.298,95.0843,108.298,95.0843
North Carolina,122.974,101.838,0.897412,122.974,101.838,122.974,101.838
Houston Christian,105.477,119.232,0.196302,105.477,119.232,105.477,119.232
Lehigh,100.44,113.012,0.20486,100.44,113.012,100.44,113.012
Navy,102.536,105.604,0.416016,102.536,105.604,102.536,105.604
Saint Francis,97.5773,117.568,0.104962,97.5773,117.568,97.5773,117.568
Santa Clara,120.982,101.722,0.880166,120.982,101.722,120.982,101.722
Loyola Marymount,103.227,103.387,0.495543,103.227,103.387,103.227,103.387
Delaware,101.358,112.855,0.225199,101.358,112.855,101.358,112.855
Miami OH,119.291,108.645,0.745552,119.291,108.645,119.291,108.645
New Mexico,115.359,97.4009,0.875008,115.359,97.4009,115.359,97.4009
Coppin St.,94.2464,125.994,0.0342666,94.2464,125.994,94.2464,125.994
Temple,112.648,111.244,0.536019,112.648,111.244,112.648,111.244
Monmouth,103.407,106.654,0.412037,103.407,106.654,103.407,106.654
